",""Matryca"",""wielkosc"",""jasnosc"",""czas"",""cena"",""opinie"",""ocenaKlientow"""
"1,""monitor 1"",10,1,10,0,100,0"
"2,""monitor 2"",10,2,9,3,90,0.5"
"3,""monitor 3"",10,3,8,6,80,1"
"4,""monitor 4"",30,4,7,9,70,1.5"
"5,""monitor 5"",30,5,6,12,60,2"
"6,""monitor 6"",20,6,5,15,50,2.5"
"7,""monitor 7"",20,7,4,18,40,3"
"8,""monitor 8"",14,8,3,21,30,3.5"
"9,""monitor 9"",14,9,2,24,20,4"
"10,""monitor 10"",13,10,1,27,10,4.5"
"11,""Monitor 11"",10,11,0,30,0,5"
"12,""Monitor 12"",10,12,0,10,0,0"
"13,""Monitor 13"",10,13,0,30,0,2"
"14,""Monitor 14"",10,14,0,20,0,2"
"15,""Monitor 15"",10,15,0,30,0,3"
