Matryca,Rozdzielczosc_w,Rozdzielczosc_h,Jakosc_ekranu,Czas_reakcji_matrycy,Czestotliwosc_odswiezania,Kontrast_statyczny,Cena,Ocena,Liczba_ocen
24,1920,1080,350,1,144,1000,829,4.8,25
23.6,1920,1080,300,1,144,3000,1099,3,1
27,1920,1080,250,5,60,1000,699,5,53
27,1920,1080,250,4,60,3000,749,4.4,68
24,1920,1080,250,4,60,3000,549,5,1
18.5,1366,768,200,5,60,700,259,4.7,150
24.5,1920,1080,250,1,75,1000,599,5,28
23.6,1920,1080,250,5,60,3000,449,4,3
23.8,1920,1080,250,1,75,3000,599,4.5,45
27,1920,1080,250,4,75,3000,1029,5,9
24,1920,1080,250,1,60,1000,499,5,114
23.8,1920,1080,250,1,75,1000,549,5,107
27,1920,1080,250,4,60,3000,749,5,77
15,2560,1080,250,5,75,1000,649,5,15
34,3440,1440,300,5,75,1000,2999,5,14
24,2560,1440,350,1,165,1000,1839,5,14
27,2560,1440,350,1,144,1000,1999,5,13
