Matryca,Rodzaj_matrycy,Rozdzielczosc_w,Rozdzielczosc_h,Jakosc_ekranu,Czas_reakcji_matrycy,Czestotliwosc_odswiezania,Kontrast_statyczny,Cena,Ocena,Liczba_ocen
18.5,TFT,1366,768,200,5,60,700,259,4,150
23.6,MVA,1920,1080,250,5,60,3000,449,4,3
24,TN,1920,1080,250,1,60,1000,499,4,114
24,VA,1920,1080,250,4,60,3000,549,4,1
23.8,IPS,1920,1080,250,1,75,1000,549,4,107
24.5,TN,1920,1080,250,1,75,1000,599,4.5,28
23.8,IPS,1920,1080,250,1,75,3000,599,4.5,45
15,IPS,2560,1080,250,5,75,1000,649,4.5,15
27,IPS,1920,1080,250,5,60,1000,699,4.5,53
27,VA,1920,1080,250,4,60,3000,749,4.5,68
27,VA,1920,1080,250,4,60,3000,749,5,77
24,TN,1920,1080,350,1,144,1000,829,5,25
27,VA,1920,1080,250,4,75,3000,1029,5,9
23.6,VA,1920,1080,300,1,144,3000,1099,5,1
24,TN,2560,1440,350,1,165,1000,1839,5,14
27,TN,2560,1440,350,1,144,1000,1999,5,13
34,IPS,3440,1440,300,5,75,1000,2999,5,14
